 hostname: first access time for the incident
cu-dialup-1005.cit.cornell.edu: Sat Jul  1 00:18:39 1995
218.165.19.68: Sun Jul  2 02:36:47 1995
216.219.22.45: Sun Jul  2 02:55:32 1995
210.246.51.43: Sun Jul  2 03:10:39 1995
210.153.12.39: Sun Jul  2 03:16:30 1995
209.257.14.88: Sun Jul  2 03:25:00 1995
210.198.76.12: Sun Jul  2 03:43:20 1995
217.224.88.13: Sun Jul  2 03:56:32 1995
209.292.17.54: Sun Jul  2 03:58:27 1995
207.155.75.72: Sun Jul  2 04:40:35 1995
208.289.65.19: Sun Jul  2 04:44:25 1995
208.225.61.45: Sun Jul  2 05:07:37 1995
223.107.92.53: Sun Jul  2 05:42:24 1995
215.223.31.22: Sun Jul  2 05:50:39 1995
211.169.95.39: Sun Jul  2 06:06:03 1995
211.157.59.79: Sun Jul  2 06:24:48 1995
215.149.51.19: Sun Jul  2 06:29:39 1995
216.172.27.88: Sun Jul  2 06:31:00 1995
219.118.73.56: Sun Jul  2 06:37:31 1995
217.190.65.92: Sun Jul  2 06:46:15 1995
217.168.32.92: Sun Jul  2 06:47:38 1995
219.141.59.82: Sun Jul  2 07:13:20 1995
216.168.82.90: Sun Jul  2 07:20:27 1995
214.195.62.46: Sun Jul  2 07:27:39 1995
219.229.65.64: Sun Jul  2 07:42:32 1995
218.217.66.58: Sun Jul  2 08:12:23 1995
207.195.10.82: Sun Jul  2 08:43:19 1995
ffong-sl.cc.emory.edu: Sun Jul  2 08:52:28 1995
ffong-sl.cc.emory.edu: Sun Jul  2 08:52:38 1995
ffong-sl.cc.emory.edu: Sun Jul  2 08:52:46 1995
ffong-sl.cc.emory.edu: Sun Jul  2 08:52:58 1995
ffong-sl.cc.emory.edu: Sun Jul  2 08:53:43 1995
ix-la12-01.ix.netcom.com: Sun Jul  2 09:05:18 1995
219.102.43.97: Sun Jul  2 09:08:29 1995
207.115.15.75: Sun Jul  2 09:22:35 1995
215.259.26.20: Sun Jul  2 09:27:03 1995
210.118.25.12: Sun Jul  2 09:51:17 1995
219.277.86.27: Sun Jul  2 10:04:30 1995
221.223.28.20: Sun Jul  2 10:11:00 1995
211.168.20.95: Sun Jul  2 11:57:43 1995
204.174.70.17: Sun Jul  2 12:18:16 1995
piweba3y.prodigy.com: Sun Jul  2 12:31:23 1995
ix-stm1-12.ix.netcom.com: Sun Jul  2 13:42:44 1995
211.117.39.59: Sun Jul  2 14:14:21 1995
216.255.12.12: Sun Jul  2 14:31:39 1995
209.259.79.42: Sun Jul  2 15:02:23 1995
gw2.att.com: Sun Jul  2 15:20:06 1995
sta07.oit.unc.edu: Sun Jul  2 16:18:24 1995
sta07.oit.unc.edu: Sun Jul  2 16:18:35 1995
sta07.oit.unc.edu: Sun Jul  2 16:18:45 1995
sta07.oit.unc.edu: Sun Jul  2 16:18:53 1995
198.70.174.235: Sun Jul  2 16:22:21 1995
mbparker.earthlink.net: Sun Jul  2 16:31:42 1995
218.240.10.39: Sun Jul  2 16:50:13 1995
207.140.62.73: Sun Jul  2 17:13:15 1995
214.263.96.82: Sun Jul  2 19:10:14 1995
211.145.73.74: Sun Jul  2 19:59:46 1995
219.199.28.28: Sun Jul  2 20:25:31 1995
220.130.34.46: Sun Jul  2 20:45:08 1995
216.103.57.19: Sun Jul  2 21:21:06 1995
204.248.112.56: Sun Jul  2 22:27:35 1995
tty08.com2.houston.net: Sun Jul  2 23:11:17 1995
tty08.com2.houston.net: Sun Jul  2 23:11:22 1995
ruger-53.slip.uiuc.edu: Sun Jul  2 23:18:19 1995
hulme-lr3-kfps-dynamic-174.stanford.edu: Sun Jul  2 23:44:12 1995
hulme-lr3-kfps-dynamic-174.stanford.edu: Sun Jul  2 23:44:28 1995
dialup-3-236.gw.umn.edu: Mon Jul  3 00:52:48 1995
220.254.86.23: Mon Jul  3 01:06:36 1995
215.276.69.22: Mon Jul  3 01:46:06 1995
221.269.57.65: Mon Jul  3 01:51:33 1995
209.158.69.13: Mon Jul  3 02:26:12 1995
pm55.smartlink.net: Mon Jul  3 02:46:42 1995
216.137.70.80: Mon Jul  3 03:04:11 1995
215.102.37.60: Mon Jul  3 04:13:00 1995
222.240.39.94: Mon Jul  3 04:15:09 1995
vishunu.sys.es.osaka-u.ac.jp: Mon Jul  3 04:29:15 1995
212.274.63.71: Mon Jul  3 04:37:10 1995
210.199.47.55: Mon Jul  3 04:39:13 1995
213.299.76.18: Mon Jul  3 04:44:23 1995
221.142.35.73: Mon Jul  3 05:03:05 1995
209.261.17.96: Mon Jul  3 05:53:14 1995
210.248.15.91: Mon Jul  3 05:56:31 1995
213.118.74.88: Mon Jul  3 06:00:37 1995
220.247.43.54: Mon Jul  3 06:08:29 1995
208.300.16.47: Mon Jul  3 06:12:42 1995
209.186.74.67: Mon Jul  3 06:21:17 1995
209.266.97.54: Mon Jul  3 06:23:26 1995
222.282.56.83: Mon Jul  3 06:27:15 1995
214.203.18.53: Mon Jul  3 06:54:31 1995
dutsb14.stm.tudelft.nl: Mon Jul  3 07:15:19 1995
216.126.57.56: Mon Jul  3 07:24:16 1995
ereapp.erenj.com: Mon Jul  3 07:49:25 1995
214.287.78.55: Mon Jul  3 08:18:17 1995
128.158.48.26: Mon Jul  3 09:33:20 1995
128.158.48.26: Mon Jul  3 09:33:31 1995
128.158.48.26: Mon Jul  3 09:33:46 1995
128.158.48.26: Mon Jul  3 09:34:09 1995
128.158.48.26: Mon Jul  3 09:34:28 1995
128.158.48.26: Mon Jul  3 09:34:39 1995
128.158.48.26: Mon Jul  3 09:36:06 1995
128.158.48.26: Mon Jul  3 09:36:15 1995
fwarner.deltabtg.com: Mon Jul  3 09:39:50 1995
222.187.56.41: Mon Jul  3 10:32:46 1995
163.205.1.45: Mon Jul  3 10:49:40 1995
163.205.1.45: Mon Jul  3 10:50:02 1995
163.205.1.45: Mon Jul  3 10:50:04 1995
163.205.1.45: Mon Jul  3 10:50:04 1995
163.205.1.45: Mon Jul  3 10:50:24 1995
163.205.1.45: Mon Jul  3 10:50:25 1995
163.205.1.45: Mon Jul  3 10:50:26 1995
163.205.1.45: Mon Jul  3 10:52:28 1995
163.205.1.45: Mon Jul  3 10:52:29 1995
163.205.1.45: Mon Jul  3 10:55:27 1995
163.205.1.45: Mon Jul  3 10:55:28 1995
163.205.1.45: Mon Jul  3 10:55:29 1995
163.205.1.45: Mon Jul  3 10:55:29 1995
163.205.1.45: Mon Jul  3 10:55:30 1995
163.205.1.45: Mon Jul  3 10:55:46 1995
vo2max.pdev.sco.com: Mon Jul  3 11:07:23 1995
vr5.engin.umich.edu: Mon Jul  3 11:21:55 1995
207.241.29.95: Mon Jul  3 12:12:46 1995
134.53.64.101: Mon Jul  3 14:27:12 1995
204.64.145.73: Mon Jul  3 14:55:12 1995
204.64.145.73: Mon Jul  3 14:55:31 1995
209.175.85.12: Mon Jul  3 16:12:35 1995
128.158.32.107: Mon Jul  3 16:14:29 1995
128.158.32.107: Mon Jul  3 16:14:50 1995
128.158.32.107: Mon Jul  3 16:14:57 1995
223.121.77.29: Mon Jul  3 16:48:39 1995
209.109.38.72: Mon Jul  3 16:50:26 1995
dd06-006.compuserve.com: Mon Jul  3 17:28:57 1995
dyna-29.bart.nl: Mon Jul  3 17:43:25 1995
210.219.17.69: Mon Jul  3 18:12:33 1995
sea-ts1-p20.wolfe.net: Mon Jul  3 20:28:10 1995
jelly.ravensoft.com: Mon Jul  3 20:56:59 1995
ix-bal2-14.ix.netcom.com: Mon Jul  3 21:59:41 1995
ix-bal2-14.ix.netcom.com: Mon Jul  3 21:59:44 1995
ch025.chance.berkeley.edu: Mon Jul  3 23:20:24 1995
ch025.chance.berkeley.edu: Mon Jul  3 23:20:45 1995
ch025.chance.berkeley.edu: Mon Jul  3 23:20:51 1995
ttyc18ip.magic.mb.ca: Mon Jul  3 23:35:13 1995
ix-aus1-04.ix.netcom.com: Mon Jul  3 23:36:16 1995
